Video_ID,Video_Title,Channel_Title,author,comment,published_at,published_at_timestamp,votes,replies,heart,reply,published_at_datetime,published_at_korean
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@김진열-w7x,대~단타!,1년 전,1696764074.611257,0,,True,False,2023-10-08 11:21:14.611257076,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@이영오-y2f,노총각 남자요44살 파주시 혼자있다요  전화번호요,1년 전,1696764074.613428,0,1,False,False,2023-10-08 11:21:14.613428116,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@강영만-o7g,김말레님 진짜~~82남자가 생기길 기원합니다~~~,1년 전,1696764074.616248,3,,True,False,2023-10-08 11:21:14.616247892,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@myway3168,습관은 제2의 천성 이랍니다...화학주 섭취 지나치면 안됩니다..알콜성 치매는 보험 해택 받기도 쉽지 않습니다..건강 챙기시면서 좋은 방송 하시길~~~.,1년 전,1696764074.618483,0,2,True,False,2023-10-08 11:21:14.618483067,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@꽥보석부계,다리는 괜찮나요? 붓기가 심해질텐데..  팔에 반창고도 븥이시구여..,1년 전,1696764074.620776,0,1,True,False,2023-10-08 11:21:14.620775938,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@상한가씨뻘건,"이 동생 매력 쩌네
일단 구독하고 갑니다 😂😂😂",1년 전,1696764074.622971,0,1,True,False,2023-10-08 11:21:14.622971058,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@컬쳐문화쇼크충격,두살 차이 같은데... 이누나 너무 좋다..매력있고...이런누나 동내 친구였음 얼마나 좋을까....,1년 전,1696764074.625123,0,1,True,False,2023-10-08 11:21:14.625123024,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@마루-y4x,"영상보니 비도 맞고 다리도 다친듯 보이네요~크게 안 다쳤기를 기원합니다.
저도 다른것은 안해도 술은 정말 좋아해서 애피소드가 조금 있네요~~ㅋㅋ
영상잘 보고 갑니다.화이팅!!",1년 전,1696764074.627327,0,1,True,False,2023-10-08 11:21:14.627326965,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@양병학-h7x,"아스팔트가 안올라와
다행이네요.
술 넘 과하면
전보대도 조심하삼
전보대에 해딩하는 사람도
있고
전보대와 씨름하는 사람도
있고...
전보대에 웃걸어두고
잠자는 사람도 있음",1년 전,1696764074.6295,0,1,True,False,2023-10-08 11:21:14.629499912,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@Dark-uf9ve,46살이세요 동갑이네요 ㅋ 동안이세요^^,1년 전,1696764074.631879,0,1,True,False,2023-10-08 11:21:14.631879091,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@marlre,네 감사합니다 😊,10개월 전,1702034474.813033,0,,False,True,2023-12-08 11:21:14.813033104,2023-12-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@marlre,파주 사는 44살 이영호씨. 여기서 이러지 마시고 전화방이라도 가세요.ㅋㅋㅋㅋㅋㅋ,1년 전,1696764074.989504,0,,False,True,2023-10-08 11:21:14.989504099,2023-10-08 11:21:14
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@marlre,"네, 걱정해주셔서 감사합니다🙂",1년 전,1696764075.164396,0,,False,True,2023-10-08 11:21:15.164396048,2023-10-08 11:21:15
